"morphospe","family.x","scientificName","family.y","status"
"Satyria panurensis","Ericaceae","Satyria panurensis (Benth. ex Meisn.) Benth. & Hook.fil.","Ericaceae","ACCEPTED"
"Myoxanthus 1","Orchidaceae","Myoxanthus Poepp. & Endl.","Orchidaceae","ACCEPTED"
"Maxillaria sp10","Orchidaceae",NA,NA,NA
"Epidendrum soratae","Orchidaceae","Epidendrum soratae Rchb.f.","Orchidaceae","ACCEPTED"
"Psammisia sp2","Ericaceae","Psammisia Klotzsch","Ericaceae","ACCEPTED"
"Lellingeria�subsessilis","Polypodiaceae",NA,NA,NA
"Thibaudia sp1","Ericaceae","Thibaudia Ruiz & Pav.","Ericaceae","ACCEPTED"
"Ribes sp1","Grossulariaceae","Ribes L.","Grossulariaceae","ACCEPTED"
"Epidendrum bleparichillum","Orchidaceae","Epidendrum blepharichilum Kraenzl.","Orchidaceae","ACCEPTED"
"Epidendrum sp12","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Elaphoglossum sp17","Dryopteridaceae","Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Pleurothallis sp7","Orchidaceae","Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
"Fuchsia apetala ","Onagraceae",NA,NA,NA
"Terpsichore bipinnata","Polypodiaceae","Terpsichore bipinnata (Stolze) A.R.Sm.","Polypodiaceae","ACCEPTED"
"Epidendrum sp20","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Epidendrum sp15","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Tillandsia complanata","Bromeliaceae","Tillandsia complanata Benth.","Bromeliaceae","ACCEPTED"
"Cyrtochilum rhodoneurum","Orchidaceae","Cyrtochilum rhodoneurum (Rchb.f.) Dalström","Orchidaceae","ACCEPTED"
"Pleurothallis sp8","Orchidaceae","Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
"Stelis sp13","Orchidaceae",NA,NA,NA
"Alansmia sp3","Polypodiaceae","Alansmia M.Kessler, Moguel, Sundue & Labiak","Polypodiaceae","ACCEPTED"
"Stelis sp14","Orchidaceae",NA,NA,NA
"Elleanthus sp2","Orchidaceae","Elleanthus C.Presl","Orchidaceae","ACCEPTED"
"Stelis sp18","Orchidaceae",NA,NA,NA
"Elaphoglossum sp22","Dryopteridaceae","Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Huperzia sp1","Lycopodiaceae","Huperzia Bernh.","Lycopodiaceae","ACCEPTED"
"Radiovittaria garderiana","Pteridaceae","Radiovittaria gardneriana (Fée) E.H.Crane","Pteridaceae","ACCEPTED"
