plot;elevation;subplot;tag;tagtree;family;genus;species;NC;DBH;H;obv
ACJ-01;3537;21;718;ACJ-01_718;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;11.4;10;
ACJ-01;3537;21;719;ACJ-01_719;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;25.2;12;
ACJ-01;3537;21;720;ACJ-01_720;Symplocaceae;Symplocos;quitensis;Symplocos quitensis;23.3;12;
ACJ-01;3537;21;721;ACJ-01_721;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;17.4;11;
ACJ-01;3537;21;724;ACJ-01_724;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;16.4;9;
ACJ-01;3537;21;725;ACJ-01_725;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;15.2;9;
ACJ-01;3537;21;726;ACJ-01_726;Rosaceae;Polylepis;pauta;Polylepis pauta;22.2;10;
ACJ-01;3537;21;727;ACJ-01_727;Rosaceae;Polylepis;pauta;Polylepis pauta;19.9;8;
ACJ-01;3537;21;729;ACJ-01_729;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;36.5;11;
ACJ-01;3537;21;730;ACJ-01_730;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;29.9;12;
ACJ-01;3537;21;731;ACJ-01_731;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;40.1;16;
ACJ-01;3537;21;732;ACJ-01_732;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;19.8;6;
ACJ-01;3537;21;734;ACJ-01_734;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;14.4;6;
ACJ-01;3537;21;737;ACJ-01_737;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;37.5;18;
ACJ-01;3537;21;740;ACJ-01_740;Solanaceae;Sessea;dependens;Sessea dependens;12;5;
ACJ-01;3537;21;741;ACJ-01_741;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;18.4;7;
ACJ-01;3537;21;742;ACJ-01_742;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;44;14;
ACJ-01;3537;21;743;ACJ-01_743;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;29.1;14;
ACJ-01;3537;21;744;ACJ-01_744;Symplocaceae;Symplocos;quitensis;Symplocos quitensis;24.4;11;
ACJ-01;3537;9;4509;ACJ-01_4509;Symplocaceae;Symplocos;quitensis;Symplocos quitensis;12.9;8;
ACJ-01;3537;9;4510;ACJ-01_4510;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;13.6;7;
ACJ-01;3537;9;4511;ACJ-01_4511;Symplocaceae;Symplocos;quitensis;Symplocos quitensis;11.9;9.5;
ACJ-01;3537;21;4528;ACJ-01_4528;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;12.1;9.5;
ACJ-01;3537;21;4529;ACJ-01_4529;Symplocaceae;Symplocos;quitensis;Symplocos quitensis;12.6;7.5;
ACJ-01;3537;21;4530;ACJ-01_4530;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;12.7;7;
ACJ-01;3537;9;4546;ACJ-01_4546;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;12.6;9;
ACJ-01;3537;9;4577;ACJ-01_4577;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;10.6;9;inclinado
ACJ-01;3537;9;4578;ACJ-01_4578;Chloranthaceae;Hedyosmum;maximum;Hedyosmum maximum;10.8;6.5;
ACJ-01;3537;21;4593;ACJ-01_4593;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;10.7;6;quebrado
APK-01;3625;5;104;APK-01_104;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;22.3;11;
APK-01;3625;5;105;APK-01_105;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;16.7;9;
APK-01;3625;5;106;APK-01_106;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;15.7;10;
APK-01;3625;5;107;APK-01_107;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;12.1;11;
APK-01;3625;5;108;APK-01_108;Asteraceae;Gynoxys;pillahuatensis;Gynoxys pillahuatensis;29.3;9;
APK-01;3625;5;109;APK-01_109;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;16.6;8;
APK-01;3625;5;110;APK-01_110;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;17.4;10;
APK-01;3625;5;111;APK-01_111;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;19.4;13;
APK-01;3625;5;113;APK-01_113;Melastomataceae;Miconia;alpina;Miconia alpina;29;8;
APK-01;3625;5;114;APK-01_114;Araliaceae;Oreopanax;ruizii;Oreopanax ruizii;14.4;8;
APK-01;3625;5;115;APK-01_115;Solanaceae;Saracha;punctata;Saracha punctata;18.5;8;
APK-01;3625;5;116;APK-01_116;Melastomataceae;Miconia;alpina;Miconia alpina;25.5;8;
APK-01;3625;5;118;APK-01_118;Araliaceae;Oreopanax;ruizii;Oreopanax ruizii;22.4;10;
APK-01;3625;5;119;APK-01_119;Campanulaceae;Siphocampylus;vatkeanus;Siphocampylus vatkeanus;22;7;
APK-01;3625;5;120;APK-01_120;Asteraceae;Gynoxys;pillahuatensis;Gynoxys pillahuatensis;25.8;8;
APK-01;3625;5;122;APK-01_122;Asteraceae;Gynoxys;pillahuatensis;Gynoxys pillahuatensis;17.5;8;
APK-01;3625;5;123;APK-01_123;Asteraceae;Gynoxys;pillahuatensis;Gynoxys pillahuatensis;38.9;12;
APK-01;3625;5;124;APK-01_124;Araliaceae;Oreopanax;ruizii;Oreopanax ruizii;13.8;6;
APK-01;3625;5;125;APK-01_125;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;26.7;12;
APK-01;3625;5;126;APK-01_126;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;29.2;10;
APK-01;3625;5;128;APK-01_128;Melastomataceae;Miconia;alpina;Miconia alpina;36.5;8;
APK-01;3625;5;129;APK-01_129;Elaeocarpaceae;Vallea;stipularis;Vallea stipularis;19.6;10;
APK-01;3625;5;130;APK-01_130;Asteraceae;Gynoxys;sp1(135ANQ);Gynoxys sp1(135ANQ);17.2;5;
APK-01;3625;5;131;APK-01_131;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;16.7;8;
APK-01;3625;14;302;APK-01_302;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;16.5;14;
APK-01;3625;14;307;APK-01_307;Asteraceae;Gynoxys;pillahuatensis;Gynoxys pillahuatensis;33.4;12.5;
APK-01;3625;14;308;APK-01_308;Solanaceae;Saracha;punctata;Saracha punctata;21.3;12;
APK-01;3625;14;309;APK-01_309;Solanaceae;Saracha;punctata;Saracha punctata;20.2;7;
APK-01;3625;14;310;APK-01_310;Araliaceae;Oreopanax;ruizii;Oreopanax ruizii;13;11;
APK-01;3625;14;311;APK-01_311;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;29;17;
APK-01;3625;14;312;APK-01_312;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;29.6;11;
APK-01;3625;14;314;APK-01_314;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;24.9;14;
APK-01;3625;14;315;APK-01_315;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;58.9;14;
APK-01;3625;14;316;APK-01_316;Asteraceae;Gynoxys;pillahuatensis;Gynoxys pillahuatensis;47;13;
APK-01;3625;5;4013;APK-01_4013;Campanulaceae;Siphocampylus;vatkeanus;Siphocampylus vatkeanus;13.8;5;
APK-01;3625;5;4014;APK-01_4014;Campanulaceae;Siphocampylus;vatkeanus;Siphocampylus vatkeanus;11.8;5;
APK-01;3625;5;4015;APK-01_4015;Solanaceae;Saracha;punctata;Saracha punctata;11.1;5;
APK-01;3625;5;4017;APK-01_4017;Symplocaceae;Symplocos;baehnii;Symplocos baehnii;15;10;
APK-01;3625;14;4036;APK-01_4036;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;20.4;11;
APK-01;3625;14;4037;APK-01_4037;Cunoniaceae;Weinmannia;fagaroides;Weinmannia fagaroides;10.8;9;
APK-01;3625;15;4098;APK-01_4098;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;10.8;8;agregado
APK-01;3625;15;4099;APK-01_4099;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;12.6;7;agregado
APK-01;3625;14;4100;APK-01_4100;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;14.5;11;
APK-01;3625;14;4101;APK-01_4101;Melastomataceae;Miconia;alpina;Miconia alpina;13.4;7;
APK-01;3625;14;4127;APK-01_4127;Melastomataceae;Miconia;AMM15963;Miconia AMM15963;11.8;6;
